mode,channel,tx,rx,tx_batch_size,rx_batch_size,total_ns,per_item_ns
async,batch-channel,1,1,1,1,293729000,140
async,kanal,1,1,1,1,173061800,82
async,async-channel,1,1,1,1,120870900,57
async,batch-channel,1,1,2,2,258277800,61
async,kanal,1,1,2,2,338809000,161
async,async-channel,1,1,2,2,194214700,92
async,batch-channel,1,1,4,4,471772400,56
async,kanal,1,1,4,4,114366000,54
async,async-channel,1,1,4,4,129812000,61
async,batch-channel,1,1,8,8,407857300,24
async,kanal,1,1,8,8,94812200,45
async,async-channel,1,1,8,8,123880100,59
async,batch-channel,1,1,16,16,616699800,18
async,kanal,1,1,16,16,830374800,395
async,async-channel,1,1,16,16,274441500,130
async,batch-channel,1,1,32,32,2389332800,35
async,kanal,1,1,32,32,106831500,50
async,async-channel,1,1,32,32,147961400,70
async,batch-channel,1,1,64,64,5222667200,38
async,kanal,1,1,64,64,209541200,99
async,async-channel,1,1,64,64,208713700,99
async,batch-channel,1,1,128,128,4341713100,16
async,kanal,1,1,128,128,111785600,53
async,async-channel,1,1,128,128,149286400,71
async,batch-channel,1,1,256,256,14870303400,27
async,kanal,1,1,256,256,140646200,67
async,async-channel,1,1,256,256,198254700,94
sync,batch-channel,1,1,1,1,136244800,129
sync,kanal,1,1,1,1,241875100,230
sync,crossbeam,1,1,1,1,191418700,182
sync,batch-channel,1,1,2,2,205745000,98
sync,kanal,1,1,2,2,132505000,126
sync,crossbeam,1,1,2,2,74982300,71
sync,batch-channel,1,1,4,4,210593000,50
sync,kanal,1,1,4,4,84204400,80
sync,crossbeam,1,1,4,4,30765800,29
sync,batch-channel,1,1,8,8,240633100,28
sync,kanal,1,1,8,8,109449600,104
sync,crossbeam,1,1,8,8,32773600,31
sync,batch-channel,1,1,16,16,567527400,33
sync,kanal,1,1,16,16,95426300,91
sync,crossbeam,1,1,16,16,35911300,34
sync,batch-channel,1,1,32,32,1019082300,30
sync,kanal,1,1,32,32,88134100,84
sync,crossbeam,1,1,32,32,34094500,32
sync,batch-channel,1,1,64,64,1553422400,23
sync,kanal,1,1,64,64,103879700,99
sync,crossbeam,1,1,64,64,38771200,36
sync,batch-channel,1,1,128,128,2000601900,14
sync,kanal,1,1,128,128,98605400,94
sync,crossbeam,1,1,128,128,69863900,66
sync,batch-channel,1,1,256,256,3079780300,11
sync,kanal,1,1,256,256,90381600,86
sync,crossbeam,1,1,256,256,64312800,61
async,batch-channel,4,1,1,1,1791692100,213
async,kanal,4,1,1,1,2230471700,265
async,async-channel,4,1,1,1,1094990000,130
async,batch-channel,4,1,2,2,2742210100,163
async,kanal,4,1,2,2,1241671200,148
async,async-channel,4,1,2,2,1233547600,147
async,batch-channel,4,1,4,4,3321390200,98
async,kanal,4,1,4,4,920749100,109
async,async-channel,4,1,4,4,1087539200,129
async,batch-channel,4,1,8,8,4930515700,73
async,kanal,4,1,8,8,1136744700,135
async,async-channel,4,1,8,8,1320890900,157
async,batch-channel,4,1,16,16,7598401300,56
async,kanal,4,1,16,16,925289200,110
async,async-channel,4,1,16,16,1173138700,139
async,batch-channel,4,1,32,32,8787526700,32
async,kanal,4,1,32,32,803157100,95
async,async-channel,4,1,32,32,1140032500,135
async,batch-channel,4,1,64,64,12373642400,23
async,kanal,4,1,64,64,2248372400,268
async,async-channel,4,1,64,64,1244911200,148
async,batch-channel,4,1,128,128,17300787900,16
async,kanal,4,1,128,128,724835800,86
async,async-channel,4,1,128,128,1117397900,133
async,batch-channel,4,1,256,256,33371743900,15
async,kanal,4,1,256,256,900468000,107
async,async-channel,4,1,256,256,1094779000,130
sync,batch-channel,4,1,1,1,1236141500,294
sync,kanal,4,1,1,1,602282200,143
sync,crossbeam,4,1,1,1,312850100,74
sync,batch-channel,4,1,2,2,912420500,108
sync,kanal,4,1,2,2,796164100,189
sync,crossbeam,4,1,2,2,262339000,62
sync,batch-channel,4,1,4,4,1222602500,72
sync,kanal,4,1,4,4,733726100,174
sync,crossbeam,4,1,4,4,226728200,54
sync,batch-channel,4,1,8,8,1558888200,46
sync,kanal,4,1,8,8,593727400,141
sync,crossbeam,4,1,8,8,730225100,174
sync,batch-channel,4,1,16,16,2341090500,34
sync,kanal,4,1,16,16,258889400,61
sync,crossbeam,4,1,16,16,143701800,34
sync,batch-channel,4,1,32,32,4116482000,30
sync,kanal,4,1,32,32,838506400,199
sync,crossbeam,4,1,32,32,204922200,48
sync,batch-channel,4,1,64,64,6434242100,23
sync,kanal,4,1,64,64,774443500,184
sync,crossbeam,4,1,64,64,224483000,53
sync,batch-channel,4,1,128,128,9427989400,17
sync,kanal,4,1,128,128,590198000,140
sync,crossbeam,4,1,128,128,223628800,53
sync,batch-channel,4,1,256,256,14580671700,13
sync,kanal,4,1,256,256,599723100,142
sync,crossbeam,4,1,256,256,235570400,56
async,batch-channel,4,4,1,1,1820964300,217
async,kanal,4,4,1,1,661828600,78
async,async-channel,4,4,1,1,976363600,116
async,batch-channel,4,4,2,2,2239097800,133
async,kanal,4,4,2,2,613312700,73
async,async-channel,4,4,2,2,860084600,102
async,batch-channel,4,4,4,4,2633715800,78
async,kanal,4,4,4,4,633737200,75
async,async-channel,4,4,4,4,1319665700,157
async,batch-channel,4,4,8,8,4411549100,65
async,kanal,4,4,8,8,661524600,78
async,async-channel,4,4,8,8,1176735900,140
async,batch-channel,4,4,16,16,5080586600,37
async,kanal,4,4,16,16,596589300,71
async,async-channel,4,4,16,16,1027732800,122
async,batch-channel,4,4,32,32,8900932700,33
async,kanal,4,4,32,32,583158300,69
async,async-channel,4,4,32,32,733552900,87
async,batch-channel,4,4,64,64,12675716800,23
async,kanal,4,4,64,64,703858400,83
async,async-channel,4,4,64,64,1169458800,139
async,batch-channel,4,4,128,128,18276920700,17
async,kanal,4,4,128,128,582709700,69
async,async-channel,4,4,128,128,1220502100,145
async,batch-channel,4,4,256,256,29043948200,13
async,kanal,4,4,256,256,632540800,75
async,async-channel,4,4,256,256,950575700,113
sync,batch-channel,4,4,1,1,1737304500,414
sync,kanal,4,4,1,1,407323400,97
sync,crossbeam,4,4,1,1,156835600,37
sync,batch-channel,4,4,2,2,1632066500,194
sync,kanal,4,4,2,2,589944800,140
sync,crossbeam,4,4,2,2,264562500,63
sync,batch-channel,4,4,4,4,1930108300,115
sync,kanal,4,4,4,4,351194400,83
sync,crossbeam,4,4,4,4,164517900,39
sync,batch-channel,4,4,8,8,3139597500,93
sync,kanal,4,4,8,8,439842100,104
sync,crossbeam,4,4,8,8,193095500,46
sync,batch-channel,4,4,16,16,3706421800,55
sync,kanal,4,4,16,16,366708000,87
sync,crossbeam,4,4,16,16,207307300,49
sync,batch-channel,4,4,32,32,6203092600,46
sync,kanal,4,4,32,32,343015900,81
sync,crossbeam,4,4,32,32,191409100,45
sync,batch-channel,4,4,64,64,8617355700,32
sync,kanal,4,4,64,64,520973000,124
sync,crossbeam,4,4,64,64,203679400,48
sync,batch-channel,4,4,128,128,11778920100,21
sync,kanal,4,4,128,128,299382400,71
sync,crossbeam,4,4,128,128,169988500,40
sync,batch-channel,4,4,256,256,15533465100,14
sync,kanal,4,4,256,256,352828300,84
sync,crossbeam,4,4,256,256,169083600,40
