mode,channel,tx,rx,batch_size,total_ns,per_item_ns
async,batch-channel,1,1,1,84242667,40
async,kanal,1,1,1,50990625,24
async,async-channel,1,1,1,24786292,11
async,batch-channel,1,1,2,103030333,24
async,kanal,1,1,2,50250541,23
async,async-channel,1,1,2,33060417,15
async,batch-channel,1,1,4,118652625,14
async,kanal,1,1,4,43971084,20
async,async-channel,1,1,4,25749792,12
async,batch-channel,1,1,8,155258416,9
async,kanal,1,1,8,46123292,21
async,async-channel,1,1,8,25544291,12
async,batch-channel,1,1,16,238009667,7
async,kanal,1,1,16,36220625,17
async,async-channel,1,1,16,28305625,13
async,batch-channel,1,1,32,412830375,6
async,kanal,1,1,32,62586417,29
async,async-channel,1,1,32,29527667,14
async,batch-channel,1,1,64,774246584,5
async,kanal,1,1,64,39864958,19
async,async-channel,1,1,64,44238500,21
async,batch-channel,1,1,128,1502588875,5
async,kanal,1,1,128,38598292,18
async,async-channel,1,1,128,41932084,19
async,batch-channel,1,1,256,2961883959,5
async,kanal,1,1,256,53904250,25
async,async-channel,1,1,256,31902167,15
sync,batch-channel,1,1,1,83783583,79
sync,kanal,1,1,1,64609208,61
sync,crossbeam,1,1,1,16825000,16
sync,batch-channel,1,1,2,86287583,41
sync,kanal,1,1,2,90802417,86
sync,crossbeam,1,1,2,16260541,15
sync,batch-channel,1,1,4,108837625,25
sync,kanal,1,1,4,73388167,69
sync,crossbeam,1,1,4,8972958,8
sync,batch-channel,1,1,8,108396291,12
sync,kanal,1,1,8,79632458,75
sync,crossbeam,1,1,8,8925541,8
sync,batch-channel,1,1,16,148787000,8
sync,kanal,1,1,16,73229292,69
sync,crossbeam,1,1,16,13799292,13
sync,batch-channel,1,1,32,215300000,6
sync,kanal,1,1,32,71524292,68
sync,crossbeam,1,1,32,17371250,16
sync,batch-channel,1,1,64,376816334,5
sync,kanal,1,1,64,85774667,81
sync,crossbeam,1,1,64,13409292,12
sync,batch-channel,1,1,128,688416625,5
sync,kanal,1,1,128,74926333,71
sync,crossbeam,1,1,128,15401542,14
sync,batch-channel,1,1,256,1340053834,4
sync,kanal,1,1,256,78441042,74
sync,crossbeam,1,1,256,13013208,12
async,batch-channel,4,1,1,897828791,107
async,kanal,4,1,1,362521083,43
async,async-channel,4,1,1,683058375,81
async,batch-channel,4,1,2,964387292,57
async,kanal,4,1,2,288131458,34
async,async-channel,4,1,2,659434083,78
async,batch-channel,4,1,4,1114091166,33
async,kanal,4,1,4,334584084,39
async,async-channel,4,1,4,752022875,89
async,batch-channel,4,1,8,1716336375,25
async,kanal,4,1,8,305628375,36
async,async-channel,4,1,8,706286833,84
async,batch-channel,4,1,16,2041142500,15
async,kanal,4,1,16,310395416,37
async,async-channel,4,1,16,733600917,87
async,batch-channel,4,1,32,3609892334,13
async,kanal,4,1,32,305799125,36
async,async-channel,4,1,32,708308375,84
async,batch-channel,4,1,64,7201179083,13
async,kanal,4,1,64,307621958,36
async,async-channel,4,1,64,696694208,83
async,batch-channel,4,1,128,12088310584,11
async,kanal,4,1,128,341155208,40
async,async-channel,4,1,128,695088542,82
async,batch-channel,4,1,256,19687450708,9
async,kanal,4,1,256,337148000,40
async,async-channel,4,1,256,687206833,81
sync,batch-channel,4,1,1,327293250,78
sync,kanal,4,1,1,754454000,179
sync,crossbeam,4,1,1,128304250,30
sync,batch-channel,4,1,2,356866167,42
sync,kanal,4,1,2,782340000,186
sync,crossbeam,4,1,2,151775667,36
sync,batch-channel,4,1,4,422482042,25
sync,kanal,4,1,4,693232083,165
sync,crossbeam,4,1,4,161908166,38
sync,batch-channel,4,1,8,579511916,17
sync,kanal,4,1,8,634167708,151
sync,crossbeam,4,1,8,160575291,38
sync,batch-channel,4,1,16,1005694500,14
sync,kanal,4,1,16,703045333,167
sync,crossbeam,4,1,16,180555750,43
sync,batch-channel,4,1,32,1450845708,10
sync,kanal,4,1,32,607637458,144
sync,crossbeam,4,1,32,168285875,40
sync,batch-channel,4,1,64,2468876375,9
sync,kanal,4,1,64,675661166,161
sync,crossbeam,4,1,64,166182875,39
sync,batch-channel,4,1,128,4219711041,7
sync,kanal,4,1,128,663351541,158
sync,crossbeam,4,1,128,176367750,42
