mode,channel,tx,rx,tx_batch_size,rx_batch_size,total_ns,per_item_ns
async,batch-channel,1,1,1,1,543748393,259
async,kanal,1,1,1,1,223751092,106
async,async-channel,1,1,1,1,202271880,96
async,batch-channel,1,1,2,2,633672586,151
async,kanal,1,1,2,2,189066819,90
async,async-channel,1,1,2,2,226697992,108
async,batch-channel,1,1,4,4,858721169,102
async,kanal,1,1,4,4,183978142,87
async,async-channel,1,1,4,4,293482170,139
async,batch-channel,1,1,8,8,1353602142,80
async,kanal,1,1,8,8,194560335,92
async,async-channel,1,1,8,8,390808049,186
async,batch-channel,1,1,16,16,2270377052,67
async,kanal,1,1,16,16,228677393,109
async,async-channel,1,1,16,16,365628920,174
async,batch-channel,1,1,32,32,4015036833,59
async,kanal,1,1,32,32,161758396,77
async,async-channel,1,1,32,32,275241253,131
async,batch-channel,1,1,64,64,7350764490,54
async,kanal,1,1,64,64,240950970,114
async,async-channel,1,1,64,64,403804170,192
async,batch-channel,1,1,128,128,14132538885,52
async,kanal,1,1,128,128,169705771,80
async,async-channel,1,1,128,128,415660703,198
async,batch-channel,1,1,256,256,28384097669,52
async,kanal,1,1,256,256,208683410,99
async,async-channel,1,1,256,256,410143613,195
sync,batch-channel,1,1,1,1,374724305,357
sync,kanal,1,1,1,1,1281034634,1221
sync,crossbeam,1,1,1,1,299238461,285
sync,batch-channel,1,1,2,2,491980132,234
sync,kanal,1,1,2,2,1389480093,1325
sync,crossbeam,1,1,2,2,291424385,277
sync,batch-channel,1,1,4,4,683677639,163
sync,kanal,1,1,4,4,1044506857,996
sync,crossbeam,1,1,4,4,279737219,266
sync,batch-channel,1,1,8,8,1136342865,135
sync,kanal,1,1,8,8,1388263312,1323
sync,crossbeam,1,1,8,8,266595243,254
sync,batch-channel,1,1,16,16,1909012233,113
sync,kanal,1,1,16,16,1132607989,1080
sync,crossbeam,1,1,16,16,267654640,255
sync,batch-channel,1,1,32,32,3392141292,101
sync,kanal,1,1,32,32,1346900699,1284
sync,crossbeam,1,1,32,32,265878633,253
sync,batch-channel,1,1,64,64,4828730645,71
sync,kanal,1,1,64,64,1245172803,1187
sync,crossbeam,1,1,64,64,245829605,234
sync,batch-channel,1,1,128,128,9568247239,71
sync,kanal,1,1,128,128,1343116866,1280
sync,crossbeam,1,1,128,128,255452457,243
sync,batch-channel,1,1,256,256,20065363684,74
sync,kanal,1,1,256,256,1173575918,1119
sync,crossbeam,1,1,256,256,246465262,235
async,batch-channel,4,1,1,1,3593196397,428
async,kanal,4,1,1,1,1940689264,231
async,async-channel,4,1,1,1,1291406671,153
async,batch-channel,4,1,2,2,4270607749,254
async,kanal,4,1,2,2,2068444756,246
async,async-channel,4,1,2,2,1231939076,146
async,batch-channel,4,1,4,4,5797972428,172
async,kanal,4,1,4,4,1517289357,180
async,async-channel,4,1,4,4,1176794703,140
async,batch-channel,4,1,8,8,8467450451,126
async,kanal,4,1,8,8,1091306218,130
async,async-channel,4,1,8,8,1374423162,163
async,batch-channel,4,1,16,16,14147034355,105
async,kanal,4,1,16,16,1129976596,134
async,async-channel,4,1,16,16,1290123628,153
async,batch-channel,4,1,32,32,24766482055,92
async,kanal,4,1,32,32,1150377220,137
async,async-channel,4,1,32,32,1195471290,142
async,batch-channel,4,1,64,64,46187783859,86
async,kanal,4,1,64,64,1224950760,146
async,async-channel,4,1,64,64,1484300533,176
async,batch-channel,4,1,128,128,94299281850,87
async,kanal,4,1,128,128,1111394202,132
async,async-channel,4,1,128,128,1311276599,156
async,batch-channel,4,1,256,256,171539856324,79
async,kanal,4,1,256,256,1074045759,128
async,async-channel,4,1,256,256,1278002798,152
sync,batch-channel,4,1,1,1,1765724877,420
sync,kanal,4,1,1,1,745125743,177
sync,crossbeam,4,1,1,1,563090579,134
sync,batch-channel,4,1,2,2,2293964829,273
sync,kanal,4,1,2,2,554724213,132
sync,crossbeam,4,1,2,2,482831225,115
sync,batch-channel,4,1,4,4,2913620376,173
sync,kanal,4,1,4,4,738349862,176
sync,crossbeam,4,1,4,4,595596131,142
sync,batch-channel,4,1,8,8,4227136370,125
sync,kanal,4,1,8,8,789634256,188
sync,crossbeam,4,1,8,8,628858158,149
sync,batch-channel,4,1,16,16,7156278558,106
sync,kanal,4,1,16,16,937844883,223
sync,crossbeam,4,1,16,16,650647905,155
sync,batch-channel,4,1,32,32,12273117795,91
sync,kanal,4,1,32,32,636158829,151
sync,crossbeam,4,1,32,32,558266254,133
sync,batch-channel,4,1,64,64,23043542695,85
sync,kanal,4,1,64,64,1163128649,277
sync,crossbeam,4,1,64,64,568298165,135
sync,batch-channel,4,1,128,128,57036040037,106
sync,kanal,4,1,128,128,669178796,159
sync,crossbeam,4,1,128,128,567371641,135
sync,batch-channel,4,1,256,256,118831905328,110
sync,kanal,4,1,256,256,916237493,218
sync,crossbeam,4,1,256,256,622188730,148
async,batch-channel,4,4,1,1,3805370507,453
async,kanal,4,4,1,1,850217382,101
async,async-channel,4,4,1,1,1057876426,126
async,batch-channel,4,4,2,2,4308503654,256
async,kanal,4,4,2,2,846909140,100
async,async-channel,4,4,2,2,1245620602,148
async,batch-channel,4,4,4,4,5940134343,177
async,kanal,4,4,4,4,772940992,92
async,async-channel,4,4,4,4,1182808378,141
async,batch-channel,4,4,8,8,8924664556,132
async,kanal,4,4,8,8,754852163,89
async,async-channel,4,4,8,8,1279647389,152
async,batch-channel,4,4,16,16,14301124650,106
async,kanal,4,4,16,16,761740223,90
async,async-channel,4,4,16,16,1350394605,160
async,batch-channel,4,4,32,32,25667301503,95
async,kanal,4,4,32,32,741743671,88
async,async-channel,4,4,32,32,1347712242,160
async,batch-channel,4,4,64,64,46817187590,87
async,kanal,4,4,64,64,732538939,87
async,async-channel,4,4,64,64,1383570174,164
async,batch-channel,4,4,128,128,95533823106,88
async,kanal,4,4,128,128,773731118,92
async,async-channel,4,4,128,128,1226936455,146
async,batch-channel,4,4,256,256,186112457169,86
async,kanal,4,4,256,256,747535655,89
async,async-channel,4,4,256,256,1431442828,170
sync,batch-channel,4,4,1,1,2885034258,687
sync,kanal,4,4,1,1,351175398,83
sync,crossbeam,4,4,1,1,659005296,157
sync,batch-channel,4,4,2,2,3541131172,422
sync,kanal,4,4,2,2,336742829,80
sync,crossbeam,4,4,2,2,694450652,165
sync,batch-channel,4,4,4,4,3796033894,226
sync,kanal,4,4,4,4,347434654,82
sync,crossbeam,4,4,4,4,516688917,123
sync,batch-channel,4,4,8,8,4921695541,146
sync,kanal,4,4,8,8,356044595,84
sync,crossbeam,4,4,8,8,496023143,118
sync,batch-channel,4,4,16,16,9199498408,137
sync,kanal,4,4,16,16,362868809,86
sync,crossbeam,4,4,16,16,552266228,131
sync,batch-channel,4,4,32,32,15859324857,118
sync,kanal,4,4,32,32,307233289,73
sync,crossbeam,4,4,32,32,605441585,144
sync,batch-channel,4,4,64,64,29099181217,108
sync,kanal,4,4,64,64,304817358,72
sync,crossbeam,4,4,64,64,489141449,116
sync,batch-channel,4,4,128,128,56309410499,104
