mode,channel,tx,rx,batch_size,total_ns,per_item_ns
async,batch-channel,1,1,1,163514500,77
async,kanal,1,1,1,87743500,41
async,async-channel,1,1,1,84149300,40
async,batch-channel,1,1,2,173508800,41
async,kanal,1,1,2,83296300,39
async,async-channel,1,1,2,82390000,39
async,batch-channel,1,1,4,214712000,25
async,kanal,1,1,4,468930900,223
async,async-channel,1,1,4,117201700,55
async,batch-channel,1,1,8,300231300,17
async,kanal,1,1,8,508929000,242
async,async-channel,1,1,8,107897200,51
async,batch-channel,1,1,16,606546200,18
async,kanal,1,1,16,67709800,32
async,async-channel,1,1,16,93676400,44
async,batch-channel,1,1,32,1001731000,14
async,kanal,1,1,32,67160200,32
async,async-channel,1,1,32,88055900,41
async,batch-channel,1,1,64,1626422200,12
async,kanal,1,1,64,1526009100,727
async,async-channel,1,1,64,158652300,75
async,batch-channel,1,1,128,2950729000,10
async,kanal,1,1,128,65158300,31
async,async-channel,1,1,128,106837100,50
async,batch-channel,1,1,256,5733549300,10
async,kanal,1,1,256,66437600,31
async,async-channel,1,1,256,97770600,46
sync,batch-channel,1,1,1,75406200,71
sync,kanal,1,1,1,155292100,148
sync,crossbeam,1,1,1,59072300,56
sync,batch-channel,1,1,2,90148200,42
sync,kanal,1,1,2,76683000,73
sync,crossbeam,1,1,2,54126900,51
sync,batch-channel,1,1,4,122306700,29
sync,kanal,1,1,4,167403800,159
sync,crossbeam,1,1,4,16193800,15
sync,batch-channel,1,1,8,128398300,15
sync,kanal,1,1,8,130961300,124
sync,crossbeam,1,1,8,24304400,23
sync,batch-channel,1,1,16,161144800,9
sync,kanal,1,1,16,140353000,133
sync,crossbeam,1,1,16,31298500,29
sync,batch-channel,1,1,32,476296500,14
sync,kanal,1,1,32,184645200,176
sync,crossbeam,1,1,32,14876000,14
sync,batch-channel,1,1,64,1155580900,17
sync,kanal,1,1,64,146653500,139
sync,crossbeam,1,1,64,19124600,18
sync,batch-channel,1,1,128,1386459100,10
sync,kanal,1,1,128,139999700,133
sync,crossbeam,1,1,128,20831700,19
sync,batch-channel,1,1,256,1859273400,6
sync,kanal,1,1,256,220538600,210
sync,crossbeam,1,1,256,15587200,14
async,batch-channel,4,1,1,715684500,85
async,kanal,4,1,1,520116700,62
async,async-channel,4,1,1,580561800,69
async,batch-channel,4,1,2,767698700,45
async,kanal,4,1,2,745703700,88
async,async-channel,4,1,2,608865900,72
async,batch-channel,4,1,4,1169031800,34
async,kanal,4,1,4,585142000,69
async,async-channel,4,1,4,594156200,70
async,batch-channel,4,1,8,1824212500,27
async,kanal,4,1,8,502717900,59
async,async-channel,4,1,8,613378200,73
async,batch-channel,4,1,16,2818525800,20
async,kanal,4,1,16,443808400,52
async,async-channel,4,1,16,595604800,71
async,batch-channel,4,1,32,4753743200,17
async,kanal,4,1,32,416284600,49
async,async-channel,4,1,32,613352300,73
async,batch-channel,4,1,64,8174686700,15
async,kanal,4,1,64,433626000,51
async,async-channel,4,1,64,591701700,70
async,batch-channel,4,1,128,14168135600,13
async,kanal,4,1,128,435864600,51
async,async-channel,4,1,128,599707000,71
async,batch-channel,4,1,256,24208301200,11
async,kanal,4,1,256,424188600,50
async,async-channel,4,1,256,629116600,74
sync,batch-channel,4,1,1,335506000,79
sync,kanal,4,1,1,665546700,158
sync,crossbeam,4,1,1,220604800,52
sync,batch-channel,4,1,2,367105700,43
sync,kanal,4,1,2,866831900,206
sync,crossbeam,4,1,2,132171100,31
sync,batch-channel,4,1,4,507745200,30
sync,kanal,4,1,4,859033000,204
sync,crossbeam,4,1,4,164813000,39
sync,batch-channel,4,1,8,494507800,14
sync,kanal,4,1,8,759419200,181
sync,crossbeam,4,1,8,144341600,34
sync,batch-channel,4,1,16,1631953500,24
sync,kanal,4,1,16,507490900,120
sync,crossbeam,4,1,16,120751700,28
sync,batch-channel,4,1,32,1699475100,12
sync,kanal,4,1,32,839626900,200
sync,crossbeam,4,1,32,130997700,31
sync,batch-channel,4,1,64,2992100000,11
sync,kanal,4,1,64,567876800,135
sync,crossbeam,4,1,64,117679600,28
sync,batch-channel,4,1,128,4299919700,8
sync,kanal,4,1,128,740739500,176
sync,crossbeam,4,1,128,144078200,34
sync,batch-channel,4,1,256,7403147500,6
sync,kanal,4,1,256,558295700,133
sync,crossbeam,4,1,256,150765200,35
async,batch-channel,4,4,1,812375600,96
async,kanal,4,4,1,507841200,60
async,async-channel,4,4,1,616978700,73
async,batch-channel,4,4,2,839473800,50
async,kanal,4,4,2,694855600,82
async,async-channel,4,4,2,626380200,74
async,batch-channel,4,4,4,1281177500,38
async,kanal,4,4,4,568440100,67
async,async-channel,4,4,4,670371700,79
async,batch-channel,4,4,8,1954688900,29
async,kanal,4,4,8,707210600,84
async,async-channel,4,4,8,665353100,79
async,batch-channel,4,4,16,2782529100,20
async,kanal,4,4,16,831138600,99
async,async-channel,4,4,16,662800900,79
async,batch-channel,4,4,32,5312892400,19
async,kanal,4,4,32,1546357300,184
async,async-channel,4,4,32,700113600,83
async,batch-channel,4,4,64,7932643200,14
async,kanal,4,4,64,872695400,104
async,async-channel,4,4,64,637027200,75
async,batch-channel,4,4,128,15012494200,13
async,kanal,4,4,128,1206935100,143
async,async-channel,4,4,128,715112200,85
async,batch-channel,4,4,256,29065310400,13
async,kanal,4,4,256,1023531300,122
async,async-channel,4,4,256,675924300,80
sync,batch-channel,4,4,1,565521600,134
sync,kanal,4,4,1,361631200,86
sync,crossbeam,4,4,1,250397200,59
sync,batch-channel,4,4,2,446762400,53
sync,kanal,4,4,2,401435800,95
sync,crossbeam,4,4,2,273293700,65
sync,batch-channel,4,4,4,588798000,35
sync,kanal,4,4,4,257296600,61
sync,crossbeam,4,4,4,196414800,46
sync,batch-channel,4,4,8,1035486700,30
sync,kanal,4,4,8,319616100,76
sync,crossbeam,4,4,8,225444900,53
sync,batch-channel,4,4,16,1629493400,24
sync,kanal,4,4,16,281022100,67
sync,crossbeam,4,4,16,189472400,45
sync,batch-channel,4,4,32,2911421000,21
sync,kanal,4,4,32,331999400,79
sync,crossbeam,4,4,32,210570500,50
sync,batch-channel,4,4,64,4409345500,16
sync,kanal,4,4,64,274153800,65
sync,crossbeam,4,4,64,212045600,50
sync,batch-channel,4,4,128,6317476400,11
sync,kanal,4,4,128,271784400,64
sync,crossbeam,4,4,128,198836000,47
sync,batch-channel,4,4,256,13657659900,12
sync,kanal,4,4,256,295232400,70
sync,crossbeam,4,4,256,205000700,48
